city,date,averageMonthlyPrice
MARSEILLE,2015-10-01,2919.67
MARSEILLE,2015-11-01,2925.01
MARSEILLE,2015-12-01,2930.18
MARSEILLE,2016-01-01,2935.52
MARSEILLE,2016-02-01,2940.86
MARSEILLE,2016-03-01,2945.86
MARSEILLE,2016-04-01,2951.2
MARSEILLE,2016-05-01,2956.37
MARSEILLE,2016-06-01,2961.71
MARSEILLE,2016-07-01,2966.88
MARSEILLE,2016-08-01,2972.22
MARSEILLE,2016-09-01,2977.56
MARSEILLE,2016-10-01,2982.73
MARSEILLE,2016-11-01,2988.07
MARSEILLE,2016-12-01,2993.24
MARSEILLE,2017-01-01,2998.58
MARSEILLE,2017-02-01,3003.92
MARSEILLE,2017-03-01,3008.74
MARSEILLE,2017-04-01,3014.08
MARSEILLE,2017-05-01,3019.25
MARSEILLE,2017-06-01,3024.59
MARSEILLE,2017-07-01,3029.76
MARSEILLE,2017-08-01,3035.1
MARSEILLE,2017-09-01,3040.44
MARSEILLE,2017-10-01,3045.61
MARSEILLE,2017-11-01,3050.95
MARSEILLE,2017-12-01,3056.12
MARSEILLE,2018-01-01,3061.46
MARSEILLE,2018-02-01,3066.8
MARSEILLE,2018-03-01,3071.62
MARSEILLE,2018-04-01,3076.97
MARSEILLE,2018-05-01,3082.13
MARSEILLE,2018-06-01,3087.47
MARSEILLE,2018-07-01,3092.64
MARSEILLE,2018-08-01,3097.98
MARSEILLE,2018-09-01,3103.32
MARSEILLE,2018-10-01,3108.49
MARSEILLE,2018-11-01,3113.83
MARSEILLE,2018-12-01,3119.0
MARSEILLE,2019-01-01,3124.34
MARSEILLE,2019-02-01,3129.68
MARSEILLE,2019-03-01,3134.51
MARSEILLE,2019-04-01,3139.85
MARSEILLE,2019-05-01,3145.02
MARSEILLE,2019-06-01,3150.36
MARSEILLE,2019-07-01,3155.53
MARSEILLE,2019-08-01,3160.87
MARSEILLE,2019-09-01,3166.21
MARSEILLE,2019-10-01,3171.38
MARSEILLE,2019-11-01,3176.72
MARSEILLE,2019-12-01,3181.88
MARSEILLE,2020-01-01,3187.23
MARSEILLE,2020-02-01,3192.57
MARSEILLE,2020-03-01,3197.56
MARSEILLE,2020-04-01,3202.9
MARSEILLE,2020-05-01,3208.07
MARSEILLE,2020-06-01,3213.41
MARSEILLE,2020-07-01,3218.58
MARSEILLE,2020-08-01,3223.92
MARSEILLE,2020-09-01,3229.26
MARSEILLE,2020-10-01,3234.43
MARSEILLE,2020-11-01,3239.77
MARSEILLE,2020-12-01,3244.94
MARSEILLE,2021-01-01,3250.28
MARSEILLE,2021-02-01,3255.62
MARSEILLE,2021-03-01,3260.45
MARSEILLE,2021-04-01,3265.79
MARSEILLE,2021-05-01,3270.95
MARSEILLE,2021-06-01,3276.3
MARSEILLE,2021-07-01,3281.46
MARSEILLE,2021-09-01,3292.14
MARSEILLE,2021-10-01,3297.31
MARSEILLE,2021-11-01,3302.65
MARSEILLE,2021-12-01,3307.82
MARSEILLE,2022-01-01,3313.16
MARSEILLE,2022-02-01,3318.5
MARSEILLE,2022-03-01,3323.33
MARSEILLE,2022-04-01,3328.67
MARSEILLE,2022-05-01,3333.84
MARSEILLE,2022-06-01,3339.18
MARSEILLE,2022-07-01,3344.35
MARSEILLE,2022-08-01,3349.69
MARSEILLE,2022-09-01,3355.03
MARSEILLE,2022-10-01,3360.2
MARSEILLE,2022-11-01,3365.54
MARSEILLE,2022-12-01,3370.71
MONTPELLIER,2014-01-01,3325.98
MONTPELLIER,2014-02-01,3331.33
MONTPELLIER,2014-03-01,3336.16
MONTPELLIER,2014-04-01,3341.51
MONTPELLIER,2014-05-01,3346.68
MONTPELLIER,2014-06-01,3352.03
MONTPELLIER,2014-07-01,3357.2
MONTPELLIER,2014-08-01,3362.55
MONTPELLIER,2014-09-01,3367.9
MONTPELLIER,2014-10-01,3373.07
MONTPELLIER,2014-11-01,3378.42
MONTPELLIER,2014-12-01,3383.59
MONTPELLIER,2015-01-01,3388.94
MONTPELLIER,2015-02-01,3394.28
MONTPELLIER,2015-03-01,3399.11
MONTPELLIER,2015-04-01,3404.46
MONTPELLIER,2015-05-01,3409.63
MONTPELLIER,2015-06-01,3414.98
MONTPELLIER,2015-07-01,3420.16
MONTPELLIER,2015-08-01,3425.5
MONTPELLIER,2015-09-01,3430.85
MONTPELLIER,2015-10-01,3436.02
MONTPELLIER,2015-11-01,3441.37
MONTPELLIER,2015-12-01,3446.54
MONTPELLIER,2016-01-01,3451.89
MONTPELLIER,2016-02-01,3457.24
MONTPELLIER,2016-03-01,3462.24
MONTPELLIER,2016-04-01,3467.59
MONTPELLIER,2016-05-01,3472.76
MONTPELLIER,2016-06-01,3478.11
MONTPELLIER,2016-07-01,3483.28
MONTPELLIER,2016-08-01,3488.63
MONTPELLIER,2016-09-01,3493.98
MONTPELLIER,2016-10-01,3499.15
MONTPELLIER,2016-11-01,3504.5
MONTPELLIER,2016-12-01,3509.67
MONTPELLIER,2017-01-01,3515.02
MONTPELLIER,2017-02-01,3520.36
MONTPELLIER,2017-03-01,3525.19
MONTPELLIER,2017-04-01,3530.54
MONTPELLIER,2017-05-01,3535.72
MONTPELLIER,2017-06-01,3541.06
MONTPELLIER,2017-07-01,3546.24
MONTPELLIER,2017-08-01,3551.58
MONTPELLIER,2017-09-01,3556.93
MONTPELLIER,2017-10-01,3562.1
MONTPELLIER,2017-11-01,3567.45
MONTPELLIER,2017-12-01,3572.63
MONTPELLIER,2018-01-01,3577.97
MONTPELLIER,2018-02-01,3583.32
MONTPELLIER,2018-03-01,3588.15
MONTPELLIER,2018-04-01,3593.49
MONTPELLIER,2018-05-01,3598.67
MONTPELLIER,2018-06-01,3604.02
MONTPELLIER,2018-07-01,3609.19
MONTPELLIER,2018-08-01,3614.54
MONTPELLIER,2018-09-01,3619.88
MONTPELLIER,2018-10-01,3625.06
MONTPELLIER,2018-11-01,3630.4
MONTPELLIER,2018-12-01,3635.58
MONTPELLIER,2019-01-01,3640.93
MONTPELLIER,2019-02-01,3646.27
MONTPELLIER,2019-03-01,3651.1
MONTPELLIER,2019-04-01,3656.45
MONTPELLIER,2019-05-01,3661.62
MONTPELLIER,2019-06-01,3666.97
MONTPELLIER,2019-07-01,3672.14
MONTPELLIER,2019-08-01,3677.49
MONTPELLIER,2019-09-01,3682.84
MONTPELLIER,2019-10-01,3688.01
MONTPELLIER,2019-11-01,3693.36
MONTPELLIER,2019-12-01,3698.53
MONTPELLIER,2020-01-01,3703.88
MONTPELLIER,2020-02-01,3709.23
MONTPELLIER,2020-03-01,3714.23
MONTPELLIER,2020-04-01,3719.58
MONTPELLIER,2020-05-01,3724.75
MONTPELLIER,2020-06-01,3730.1
MONTPELLIER,2020-07-01,3735.27
MONTPELLIER,2020-08-01,3740.62
MONTPELLIER,2020-09-01,3745.96
MONTPELLIER,2020-10-01,3751.14
MONTPELLIER,2020-11-01,3756.49
MONTPELLIER,2020-12-01,3761.66
MONTPELLIER,2021-01-01,3767.01
MONTPELLIER,2021-02-01,3772.35
MONTPELLIER,2021-03-01,3777.18
MONTPELLIER,2021-04-01,3782.53
MONTPELLIER,2021-05-01,3787.7
MONTPELLIER,2021-06-01,3793.05
MONTPELLIER,2021-07-01,3798.22
